,n_trees,n_interval,min_length,time,accuracy,f1,recall
88,200,50,5,18.001805305480957,0.8608695652173913,0.8608695652173913,0.8608695652173913
89,200,50,10,19.156246662139893,0.8782608695652174,0.8782608695652175,0.8782608695652174
90,200,50,20,18.18070673942566,0.8608695652173913,0.8608695652173913,0.8608695652173913
91,200,50,50,16.270928382873535,0.8521739130434782,0.8521739130434782,0.8521739130434782
92,200,50,100,16.75483512878418,0.8521739130434782,0.8521739130434782,0.8521739130434782
93,200,50,200,17.328391551971436,0.8782608695652174,0.8782608695652175,0.8782608695652174
94,200,50,500,16.448856115341187,0.8608695652173913,0.8608695652173913,0.8608695652173913
95,200,50,1000,19.489925146102905,0.8521739130434782,0.8521739130434782,0.8521739130434782
96,200,100,5,37.127267599105835,0.8782608695652174,0.8782608695652175,0.8782608695652174
97,200,100,10,35.3942813873291,0.8608695652173913,0.8608695652173913,0.8608695652173913
98,200,100,20,32.039095640182495,0.8434782608695652,0.8434782608695653,0.8434782608695652
99,200,100,50,32.96570086479187,0.8608695652173913,0.8608695652173913,0.8608695652173913
100,200,100,100,34.54633688926697,0.8695652173913043,0.8695652173913043,0.8695652173913043
101,200,100,200,36.30508327484131,0.8521739130434782,0.8521739130434782,0.8521739130434782
102,200,100,500,33.380560636520386,0.8695652173913043,0.8695652173913043,0.8695652173913043
103,200,100,1000,36.38592720031738,0.8608695652173913,0.8608695652173913,0.8608695652173913
104,200,200,5,69.15702891349792,0.8521739130434782,0.8521739130434782,0.8521739130434782
105,200,200,10,66.40004682540894,0.8782608695652174,0.8782608695652175,0.8782608695652174
106,200,200,20,68.5418348312378,0.8695652173913043,0.8695652173913043,0.8695652173913043
107,200,200,50,64.23969030380249,0.8695652173913043,0.8695652173913043,0.8695652173913043
108,200,200,100,68.98165965080261,0.8782608695652174,0.8782608695652175,0.8782608695652174
109,200,200,200,72.46288752555847,0.8782608695652174,0.8782608695652175,0.8782608695652174
110,200,200,500,67.9001076221466,0.8695652173913043,0.8695652173913043,0.8695652173913043
111,200,200,1000,71.77195239067078,0.8782608695652174,0.8782608695652175,0.8782608695652174
112,500,3,5,1.2070369720458984,0.7217391304347827,0.7217391304347827,0.7217391304347827
